University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
MORGAN STANLEY SR NT FXD/FLTG ,2.63,02/18/26,"440,000.00","440,000.00","419,777.69"
MPLX LP 4.0% DUE 02-15-2025/02,4.00,02/15/25,"200,000.00","202,436.00","197,330.80"
MPLX LP BNDS 3.375% DUE 03-15-,3.38,03/15/23,"305,000.00","314,354.75","304,150.14"
NEW YORK LIFE GLOBAL FDG MEDIU,1.45,01/14/25,"150,000.00","149,838.00","141,617.34"
NEXTERA ENERGY CA .00065%,0.65,03/01/23,"180,000.00","179,982.00","176,909.15"
NEXTERA ENERGY CAPITAL HOLDING,4.45,06/20/25,"280,000.00","279,930.00","281,936.80"
NORTHROP GRUMMAN CORP 2.93% DU,2.93,01/15/25,"320,000.00","339,267.30","312,944.26"
NORTHWESTERN CORP 1.0% DUE 03-,1.00,03/26/24,"170,000.00","169,855.50","162,977.79"
NTT FIN CORP .583% 03-01-2024,0.58,03/01/24,"300,000.00","300,000.00","285,231.85"
NUCOR CORP 3.95% 05-23-2025,3.95,05/23/25,"90,000.00","89,942.40","89,495.11"
NUTRIEN LTD 1.9% DUE 05-13-202,1.90,05/13/23,"130,000.00","129,883.00","127,919.67"
NUTRIEN LTD 3.0%,3.00,04/01/25,"50,000.00","50,819.00","48,811.29"
NXP B V/NXP FDG LLC/NXP USA IN,4.40,06/01/27,"170,000.00","169,831.70","167,352.94"
OKLAHOMA GAS & ELEC CO SR NT .,0.55,05/26/23,"100,000.00","100,000.00","97,168.15"
ONCOR ELEC DELIVERY CO LLC 2.9,2.95,04/01/25,"400,000.00","427,028.00","390,791.54"
ORACLE CORP 1.65% 03-25-2026,1.65,03/25/26,"410,000.00","403,287.20","367,261.05"
OTIS WORLDWIDE CORP 2.056% DUE,2.06,04/05/25,"100,000.00","105,520.46","94,699.64"
PACIFIC LIFE GLOBAL FDG II MED,1.20,06/24/25,"120,000.00","121,662.00","110,207.78"
PACIFICORP 3.35% DUE 07-01-202,3.35,07/01/25,"210,000.00","222,081.30","208,600.70"
PACIFICORP 3.6% DUE,3.60,04/01/24,"200,000.00","215,700.00","200,290.44"
PARKER-HANNIFIN CORP  BOO ,3.30,11/21/24,"110,000.00","118,829.70","108,589.31"
PARKER-HANNIFIN CORP 2.7% DUE,2.70,06/14/24,"80,000.00","79,963.20","78,067.86"
PARKER-HANNIFIN CORP 3.65% DUE,3.65,06/15/24,"160,000.00","159,889.60","158,917.46"
PARKER-HANNIFIN CORP MEDIUM TE,3.50,09/15/22,"110,000.00","110,486.20","110,147.78"
PEACEHEALTH 1.375% DUE,1.38,11/15/25,"240,000.00","240,838.25","220,909.93"
PENTA AIRCRAFT LEASING 2013 LL,2.65,11/25/25,"176,803.63","186,127.02","174,506.88"
PERKINELMER INC .55% 09-15-202,0.55,09/15/23,"200,000.00","199,928.00","192,595.12"
PERKINELMER INC SR NT .85% 09-,0.85,09/15/24,"200,000.00","199,876.00","185,107.58"
PHILLIPS 66 3.85% DUE 04-09-20,3.85,04/09/25,"180,000.00","201,907.80","178,886.60"
PIONEER NAT RES CO .55% DUE 05,0.55,05/15/23,"80,000.00","79,995.20","77,970.96"
PROTECTIVE LIFE GLOBAL FDG MED,1.65,01/13/25,"170,000.00","170,000.00","160,228.94"
PROTECTIVE LIFE GLOBAL FDG MED,3.22,03/28/25,"150,000.00","150,000.00","146,638.77"
PROVIDENCE HEALTH & SVCS OBLIG,4.38,10/01/23,"350,000.00","376,019.00","353,144.49"
PUBLIC SERVICE ELECTRIC & GAS ,2.25,09/15/26,"240,000.00","238,353.60","225,129.28"
PUBLIC SVC CO N H 3.5% DUE,3.50,11/01/23,"400,000.00","421,764.00","400,726.10"
PUBLIC SVC ELEC GAS CO SECD ME,2.38,05/15/23,"330,000.00","330,089.30","326,152.06"
PUBLIC SVC ENTERPRISE GROUP IN,0.84,11/08/23,"130,000.00","126,042.80","124,711.31"
PVPTL CREDIT SUISSE GROUP AG S,2.94,12/14/23,"445,000.00","445,000.00","444,592.04"
PVT PL BNP PARIBAS SR NON PFD ,4.71,01/10/25,"230,000.00","239,402.40","229,879.71"
PVTPL 7-ELEVEN INC SR NT .625%,0.63,02/10/23,"60,000.00","59,950.20","58,834.56"
PVTPL 7-ELEVEN INC SR NT .8%,0.80,02/10/24,"150,000.00","149,875.50","142,117.65"
PVTPL ALLIANT ENERGY FIN LLC 1,1.40,03/15/26,"380,000.00","379,285.60","337,459.48"
PVTPL BAYER US FIN II LLC ,4.25,12/15/25,"200,000.00","223,526.00","197,387.31"
PVTPL BAYER US FINANCE LLC BND,3.38,10/08/24,"200,000.00","214,018.00","195,145.94"
PVTPL BMW US CAP LLC .75% DUE,0.75,08/12/24,"280,000.00","279,974.80","263,365.68"
PVTPL BNP PARIBAS SR NON PFD 1,2.82,11/19/25,"400,000.00","425,900.00","382,110.60"
PVTPL CARGILL INC 3.5% 04-22-2,3.50,04/22/25,"250,000.00","249,302.50","247,997.53"
PVTPL CARGILL INC 3.625% 04-22,3.63,04/22/27,"50,000.00","49,735.50","49,103.12"
PVTPL COMMONWEALTH BK AUSTRALI,2.30,03/14/25,"420,000.00","420,000.00","404,854.85"
PVTPL CRH AMERICA INC BNDS 3.8,3.88,05/18/25,"220,000.00","237,366.80","218,740.01"
PVTPL DAIMLER FIN NORTH AMER L,1.75,03/10/23,"605,000.00","603,874.70","597,763.06"
PVTPL DAIMLER TRUCKS  1.625% 1,1.63,12/13/24,"220,000.00","219,942.80","206,855.49"
PVTPL EAST OHIO GAS CO 1.3% DU,1.30,06/15/25,"210,000.00","209,201.10","193,077.05"
PVTPL EMD FINANCE LLC 3.25% DU,3.25,03/19/25,"160,000.00","169,472.00","157,582.75"
PVTPL FEDERATION DES CAISSES D,0.45,10/07/23,"520,000.00","519,365.60","500,963.04"
PVTPL GSK CONSUMER HEALTHCARE ,3.13,03/24/25,"250,000.00","249,347.50","243,463.53"
PVTPL GULFSTREAM NAT GAS SYS L,6.19,11/01/25,"100,000.00","116,920.00","105,101.05"
PVTPL HP INC 1.45% DUE 06-17-2,1.45,06/17/26,"230,000.00","216,291.40","204,311.97"
PVTPL MAGALLANES INC 3.638% DU,3.64,03/15/25,"130,000.00","130,000.00","125,906.23"
PVTPL MAGALLANES INC 3.755%á,3.76,03/15/27,"270,000.00","270,000.00","253,257.76"
PVTPL METROPOLITAN LIFE GLOBAL,4.40,06/30/27,"155,000.00","154,882.20","156,152.74"
PVTPL MONDELEZ INTL HLDGS NETH,0.75,09/24/24,"210,000.00","209,676.60","196,227.28"
PVTPL MONONGAHELA PWR CO 1ST M,4.10,04/15/24,"170,000.00","178,802.60","169,886.47"
PVTPL NATIONAL AUSTRALIA BANK ,1.39,01/12/25,"510,000.00","510,000.00","481,552.14"
PVTPL NESTLE HLDGS INC .606%,0.61,09/14/24,"330,000.00","330,000.00","311,466.82"
PVTPL NEW YORK LIFE GLOBAL FDG,2.00,01/22/25,"100,000.00","103,286.00","95,651.80"
PVTPL NEW YORK LIFE GLOBAL FDG,2.88,04/10/24,"260,000.00","276,393.00","256,759.60"
PVTPL NORTHWESTERN MUT GLOBAL ,0.80,01/14/26,"200,000.00","199,648.00","179,753.22"
PVTPL NORTHWESTERN MUT GLOBAL ,0.00,07/01/25,"390,000.00","389,867.40","392,029.71"
PVTPL NORTHWESTERN MUTUAL GLBL,0.60,03/25/24,"120,000.00","119,996.40","114,079.20"
PVTPL PRINCIPAL LIFE GLOBAL FD,1.38,01/10/25,"280,000.00","279,092.80","261,222.62"
PVTPL ROGERS COMMUNICATIONS IN,2.95,03/15/25,"90,000.00","89,940.60","86,942.21"
PVTPL ROGERS COMMUNICATIONS IN,3.20,03/15/27,"50,000.00","49,995.50","47,425.40"
PVTPL SCHLUMBERGER FIN CDA LTD,2.65,11/20/22,"60,000.00","60,229.20","59,936.01"
PVTPL SIEMENS FINANCIERINGSMAA,2.35,10/15/26,"250,000.00","248,570.00","233,134.25"
PVTPL SOUTHERN NAT GAS CO L L ,0.63,04/28/23,"55,000.00","54,991.20","53,344.44"
PVTPL TSMC GLOBAL LTD .75% DUE,0.75,09/28/25,"400,000.00","398,574.00","364,472.92"
PVTPL UBS GROUP AG 1.494% 08-1,1.49,08/10/27,"200,000.00","188,070.00","175,016.55"
PVTPL UBS GROUP AG 4.488% 05-1,4.49,05/12/26,"200,000.00","200,000.00","199,236.00"
PVTPL USAA CAPITAL CORP 3YR NE,3.38,05/01/25,"290,000.00","289,051.70","287,491.47"
PVTPL VOLKSWAGEN GROUP AMER FI,2.70,09/26/22,"200,000.00","199,926.00","199,686.13"
PVTPL VOLKSWAGEN GROUP AMER FI,3.95,06/06/25,"200,000.00","199,910.00","196,260.41"
RABOBANK NEDERLAND GLOBAL MEDI,3.06,09/26/23,"250,000.00","250,000.00","251,143.92"
RABOBANK NEDERLAND GLOBAL MEDI,2.63,07/22/24,"290,000.00","289,312.70","280,693.61"
RABOBANK NEDERLAND GLOBAL MEDI,3.65,04/06/28,"260,000.00","260,000.00","246,963.32"
RAYTHEON TECHNOLOGIES CORP 3.2,3.20,03/15/24,"90,000.00","96,984.51","89,174.99"
REALTY INCOME CORP 3.0% DUE,3.00,01/15/27,"130,000.00","131,960.40","123,071.64"
RECKITT BENCKISER TREAS SVCS P,2.75,06/26/24,"220,000.00","218,088.20","215,254.48"
REGIONS FINL CORP NEW 2.25% DU,2.25,05/18/25,"70,000.00","69,786.50","66,780.92"
RELIANCE INDS LTD 1.87% DUE,1.87,01/15/26,"387,368.48","387,368.48","377,296.56"
RELX CAP INC 3.5% DUE,3.50,03/16/23,"300,000.00","311,058.00","299,589.85"
RIMON LLC 2.623% DUE,2.62,06/25/26,"581,309.29","615,606.55","571,581.68"
ROPER TECHNOLOGIES INC .45% DU,0.45,08/15/22,"80,000.00","79,930.40","79,746.01"
ROPER TECHNOLOGIES INC 1.0% DU,1.00,09/15/25,"150,000.00","150,903.00","135,617.70"
ROPER TECHNOLOGIES INC 2.35% D,2.35,09/15/24,"70,000.00","69,870.50","67,812.58"
ROPER TECHNOLOGIES INC 3.65%,3.65,09/15/23,"410,000.00","433,968.60","410,566.32"
ROYAL BK CDA FLTG RT ,2.95,10/05/23,"330,000.00","330,000.00","329,782.21"
ROYAL BK CDA GLOBAL MEDIUM TER,1.15,06/10/25,"220,000.00","221,150.60","203,536.37"
ROYAL BK CDA GLOBAL MEDIUM TER,1.60,01/21/25,"250,000.00","250,000.00","236,635.15"
ROYAL BK CDA GLOBAL MEDIUM TER,3.38,04/14/25,"140,000.00","139,948.20","138,145.00"
ROYAL BK CDA GLOBAL MEDIUM TER,0.75,10/07/24,"450,000.00","419,269.50","420,210.53"
SABINE PASS 5.75% DUE 05-15-20,5.75,05/15/24,"100,000.00","106,689.00","101,983.97"
SCHLUMBERGER FIN CDA LTD 1.4%,1.40,09/17/25,"150,000.00","149,820.00","139,108.46"
SCHWAB CHARLES CORP NEW 3.625%,3.63,04/01/25,"300,000.00","322,268.00","297,926.54"
SEMPRA ENERGY 3.3% 04-01-2025,3.30,04/01/25,"180,000.00","179,681.40","175,854.37"
SIMON PPTY GROUP L P 2.75%,2.75,06/01/23,"420,000.00","429,111.00","415,847.27"
SOUTHWESTERN PUBLIC SERVICE CO,3.30,06/15/24,"450,000.00","487,903.50","447,191.23"
SPIRE MO INC .549763% 12-02-20,1.57,12/02/24,"480,000.00","480,000.00","475,334.55"
STANLEY BLACK & DECKER INC 2.3,2.30,02/24/25,"150,000.00","149,797.50","145,170.09"
STATE STR CORP 2.354% DUE,2.35,11/01/25,"410,000.00","436,264.60","394,311.48"
STATE STR CORP SR NT FXD/FLTG ,2.20,02/07/28,"70,000.00","70,000.00","64,103.52"
STATE STREET CORP 1.746% 02-06,1.75,02/06/26,"80,000.00","80,000.00","75,516.94"
SUMITOMO MITSUI FINANCIAL GROU,1.84,10/16/23,"360,000.00","360,000.00","360,191.66"
SUMITOMO MITSUI FINL GROUP INC,1.47,07/08/25,"200,000.00","204,320.00","183,678.16"
SUMITOMO MITSUI FINL GROUP INC,2.78,07/12/22,"215,000.00","214,920.45","215,008.63"
SUTTER HEALTH 1.321% DUE,1.32,08/15/25,"145,000.00","145,000.00","133,846.30"
TAKE-TWO INTERACTIVE SOFTWARE ,3.30,03/28/24,"60,000.00","59,973.60","59,199.76"
TAKE-TWO INTERACTIVE SOFTWARE ,3.55,04/14/25,"30,000.00","29,987.40","29,507.61"
THERMO FISHER SCIENTIFIC INC 1,1.22,10/18/24,"500,000.00","500,000.00","473,693.80"
TORONTO DOMINION BK SR MEDIUM ,0.75,06/12/23,"120,000.00","119,911.20","116,682.98"
TORONTO DOMINION BK SR MEDIUM ,0.70,09/10/24,"560,000.00","559,552.00","525,632.45"
TORONTO DOMINION BK SR MEDIUM ,3.77,06/06/25,"200,000.00","200,000.00","198,864.46"
TORONTO-DOMINION BANK 2.65%,2.65,06/12/24,"130,000.00","129,981.80","127,570.84"
TOTAL CAP INTL 2.434% DUE,2.43,01/10/25,"170,000.00","171,791.80","165,296.70"
TOYOTA MOTOR CREDIT CORP 3.05%,3.05,03/22/27,"150,000.00","149,986.50","144,215.71"
TOYOTA MOTOR CREDIT CORP 3.95%,3.95,06/30/25,"250,000.00","249,762.50","250,896.88"
TOYOTA MTR CR CORP MEDIUM TERM,3.00,04/01/25,"160,000.00","171,308.80","156,953.88"
TOYOTA MTR CR CORP MEDIUM TERM,1.45,01/13/25,"240,000.00","239,678.40","227,441.20"
TSMC ARIZONA CORP 1.75% 10-25-,1.75,10/25/26,"300,000.00","299,928.00","275,872.01"
TYCO ELECTRONICS GROUP S A 3.4,3.45,08/01/24,"150,000.00","153,741.00","149,517.29"
U S BANCORP MEDIUM TERM NTS- B,2.22,01/27/28,"350,000.00","350,000.00","320,638.12"
UBS AG LONDON BRH NT 144A .7%,0.70,08/09/24,"200,000.00","199,918.00","187,182.68"
UBS GROUP AG 1.008% DUE,1.01,07/30/24,"250,000.00","250,000.00","242,073.79"
UDR INC 2.95% DUE 09-01-2026/0,2.95,09/01/26,"40,000.00","40,576.00","37,711.82"
UNION PAC CORP 3.5% DUE,3.50,06/08/23,"300,000.00","310,491.00","299,999.98"
UNITED TECHNOLOGIES CORP 3.65%,3.65,08/16/23,"6,000.00","6,001.16","5,993.69"
UNITED TECHNOLOGIES CORP 3.95%,3.95,08/16/25,"200,000.00","222,734.00","200,418.85"
UNITEDHEALTH GROUP INC NT 3.7%,3.70,05/15/27,"150,000.00","149,919.00","149,469.62"
VENTAS REALTY LIMITED PARTNERS,2.65,01/15/25,"90,000.00","89,508.60","86,070.84"
VENTAS REALTY LP 3.5% DUE,3.50,02/01/25,"100,000.00","102,814.00","97,549.46"
VIRGINIA ELEC & POWER CO ,2.75,03/15/23,"220,000.00","228,230.20","218,544.16"
VULCAN MATLS CO 4.5% DUE,4.50,04/01/25,"80,000.00","90,164.00","81,408.07"
WASTE MGMT INC DEL 2.4% DUE,2.40,05/15/23,"200,000.00","198,292.00","198,689.26"
WEC ENERGY GROUP INC 0.8% DUE,0.80,03/15/24,"390,000.00","390,201.10","370,340.26"
WELLS FARGO & CO MEDIUM TERM S,3.53,03/24/28,"610,000.00","610,000.00","577,759.87"
WELLS FARGO & CO MEDIUM TERM S,3.91,04/25/26,"270,000.00","270,000.00","265,541.05"
WELLTOWER INC  4.0% DUE 06-01-,4.00,06/01/25,"70,000.00","71,032.50","69,478.40"
WESTAR ENERGY INC 2.55% DUE,2.55,07/01/26,"290,000.00","302,814.60","274,797.81"
WESTAR ENERGY INC 3.1% DUE,3.10,04/01/27,"440,000.00","419,817.20","420,354.61"
WESTPAC BANKING CORP WSTP 3.73,3.74,08/26/25,"200,000.00","200,000.00","199,298.75"
WESTPAC BKG CORP .95025% DUE 0,2.30,02/26/24,"260,000.00","260,000.00","261,193.38"
WESTROCK CO 3.0% DUE 09-15-202,3.00,09/15/24,"110,000.00","114,677.20","107,484.15"
WILLIAMS PARTNERS L P 3.9% DUE,3.90,01/15/25,"210,000.00","228,994.10","207,456.33"
WISCONSIN ENERGY CORP 3.55% DU,3.55,06/15/25,"29,000.00","31,088.58","28,467.87"
YALE UNIV FIXED .873% DUE 04-1,0.87,04/15/25,"530,000.00","530,000.00","497,636.22"
,,,,,
Municipal Bonds,,,,,
BALTIMORE CNTY MD 2.247% DUE 0,2.25,08/01/22,"330,000.00","335,544.00","330,095.17"
BERGEN CNTY N J IMPT AUTH GOVE,0.00,02/15/25,"455,000.00","455,000.00","427,772.62"
COLLIN CNTY TEX .402% DUE 02-1,0.00,02/15/23,"610,000.00","610,000.00","601,402.60"
CROWLEY TEX INDPT SCH DIST ZER,0.00,08/01/22,"570,000.00","542,098.50","568,708.67"
DENISON TEX INDPT SCH DIST ZER,0.00,08/01/23,"460,000.00","433,724.80","444,097.75"
FORT WORTH TEX INDPT SCH DIST ,0.00,02/15/25,"500,000.00","572,095.00","521,597.85"
HAYS TEX CONS INDPT SCH DIST 5,5.00,08/15/22,"500,000.00","543,845.00","501,136.00"
LEE CNTY FLA WTR & SWR REV 1.8,1.89,10/01/22,"330,000.00","330,000.00","330,085.67"
LIBERTY CALIF UN HIGH SCH DIST,0.65,08/01/24,"235,000.00","235,000.00","222,106.49"
LINN CNTY ORE CMNTY SCH DIST N,2.07,06/15/23,"395,000.00","395,000.00","392,062.46"
LOUISIANA LOC GOVT ENVIRONMENT,3.62,02/01/29,"900,000.00","899,678.45","899,741.16"
MARYLAND ST CMNTY DEV ADMIN DE,3.24,09/01/48,"75,000.00","75,000.00","74,367.44"
METROPOLITAN ATLANTA RAPID TRA,0.00,07/01/23,"330,000.00","330,000.00","321,829.33"
MICHIGAN FIN AUTH REV 2.308% D,2.31,12/01/24,"440,000.00","440,000.00","427,618.09"
NEW YORK N Y CITY TRANSITIONAL,3.35,08/01/25,"265,000.00","273,336.90","264,040.14"
NEW YORK ST DORM AUTH ST PERS ,2.74,03/15/26,"350,000.00","350,000.00","338,582.44"
OREGON ST 5.892% DUE 06-01-202,5.89,06/01/27,"450,000.00","505,264.50","480,659.72"
PALOMAR CALIF CMNTY COLLEGE DI,1.42,08/01/27,"135,000.00","119,098.35","121,059.50"
SIOUX FALLS S D SCH DIST NO 49,0.00,08/01/24,"280,000.00","280,000.00","264,629.06"
SOUTH DAKOTA ST HEALTH & EDL F,0.00,11/01/24,"200,000.00","200,000.00","188,837.82"
UTAH ST 3.539% DUE 07-01-2025,3.54,07/01/25,"500,000.00","532,580.00","503,162.85"
,,,,,
U.S. Agency Bonds,,,,,
EQUINOR ASA 1.75% DUE 01-22-20,1.75,01/22/26,"30,000.00","29,879.70","27,953.35"
EXPORT-IMPORT BANK OF THE UNIT,0.00,08/20/26,"515,433.43","246,273.56","507,323.07"
FEDERAL HOME LN MTG CORP POOL ,3.50,06/01/42,"2,064.59","2,132.91","2,064.19"
FEDERAL HOME LN MTG CORP POOL ,2.02,07/01/42,"9,477.11","9,780.29","9,412.62"
FEDERAL HOME LN MTG CORP POOL ,1.87,09/01/45,"309,026.33","315,870.79","312,872.14"
FEDERAL HOME LN MTG CORP POOL ,3.42,05/01/42,"28,990.02","29,877.83","28,774.73"
FEDERAL HOME LN MTG CORP POOL ,2.85,06/01/42,"17,853.90","18,376.97","18,184.00"
FEDERAL HOME LN MTG CORP POOL ,2.55,07/01/42,"16,158.42","16,614.77","16,517.96"
FEDERAL HOME LN MTG CORP POOL ,2.00,08/01/42,"3,757.95","3,871.56","3,726.31"
FEDERAL HOME LN MTG CORP POOL ,2.00,10/01/42,"46,429.16","47,754.92","47,142.13"
FEDERAL HOME LN MTG CORP POOL ,2.02,11/01/42,"40,454.05","41,484.36","40,959.75"
FEDERAL HOME LN MTG CORP POOL ,2.35,12/01/42,"468,860.74","480,765.40","477,529.75"
FEDERAL HOME LN MTG CORP POOL ,3.12,11/01/44,"64,234.67","64,932.20","64,483.08"
FEDERAL HOME LN MTG CORP POOL ,2.50,08/01/45,"102,080.42","104,337.61","104,725.07"
FEDERAL HOME LN MTG CORP POOL ,2.76,01/01/46,"80,304.57","80,413.12","79,042.50"
FEDERAL HOME LN MTG CORP POOL ,2.83,02/01/46,"84,367.84","85,047.31","85,590.81"
FEDERAL HOME LN MTG CORP POOL ,2.26,10/01/46,"446,529.08","456,128.18","440,967.34"
FEDERAL HOME LN MTG CORP POOL ,2.46,11/01/46,"242,873.85","249,249.30","240,284.30"
FEDERAL HOME LN MTG CORP POOL ,2.68,11/01/47,"148,279.82","150,515.59","147,587.74"
FEDERAL HOME LN MTG CORP POOL ,3.30,06/01/49,"233,566.89","238,624.76","232,387.53"
FEDERAL HOME LN MTG CORP POOL ,2.85,02/01/50,"268,081.65","274,155.37","262,676.32"
FEDERAL HOME LN MTG CORP POOL ,2.10,06/01/50,"346,828.03","359,508.92","338,808.50"
FEDERAL HOME LN MTG CORP POOL ,2.26,06/01/50,"421,408.62","439,120.93","405,142.17"
FEDERAL HOME LN MTG CORP POOL ,2.21,03/01/47,"57,632.26","57,493.15","57,728.32"
FEDERAL HOME LN MTG CORP POOL ,3.50,07/01/52,"550,000.00","534,917.97","542,185.52"
FEDERAL HOME LN MTG CORP POOL ,4.32,06/01/52,"710,000.00","714,659.38","715,273.92"
FEDERAL HOME LN MTG CORP POOL ,3.00,10/01/26,"378,334.49","392,699.37","377,164.30"
FEDERAL HOME LN MTG CORP POOL ,3.00,05/01/27,"7,970.04","8,378.19","7,939.50"
FEDERAL HOME LN MTG CORP SER 0,1.24,05/25/51,"749,074.84","756,563.34","699,444.51"
FEDERAL HOME LN MTG CORP SER Q,2.77,01/25/46,"36,435.12","36,978.96","36,343.86"
FEDERAL NATL MTG ASSN GTD MTG ,3.50,03/01/27,"10,060.16","10,588.29","10,046.67"
FEDERAL NATL MTG ASSN GTD MTG ,2.55,05/01/42,"59,741.92","61,648.53","61,169.20"
FHLMC MULTICLASS SER 21-1 CL T,2.50,09/25/60,"503,731.09","524,780.55","482,184.50"
FHLMC POOL #2B-4166 ADJ RT 05-,3.07,05/01/45,"75,260.22","77,247.56","76,141.53"
FHLMC POOL #QN-3637 2.0%,2.00,09/01/35,"974,275.80","1,018,042.10","911,057.34"
FHLMC POOL #QN1525 3.0% 02-01-,3.00,02/01/35,"442,678.87","457,480.95","434,663.03"
FHLMC POOL 2B5188 ADJ RT,2.90,03/01/46,"103,036.21","103,551.56","101,681.60"
FNMA 2.591% 06-01-2052,2.59,06/01/52,"558,908.00","535,612.89","534,962.67"
FNMA 3.101% 05-01-2052,3.10,05/01/52,"403,655.54","397,663.78","393,415.76"
FNMA POOL #735383 5.0% DUE 04-,5.00,04/01/35,"211,095.96","228,890.71","221,945.71"
FNMA POOL #AO4573 ADJ RT DUE 0,3.32,06/01/42,"61,775.34","63,476.59","63,092.00"
FNMA POOL #AO7668 ADJ RT DUE 0,3.61,06/01/42,"31,042.10","31,751.48","31,779.61"
FNMA POOL #AP7557 FLTG,2.38,09/01/42,"53,888.17","53,736.61","55,470.02"
FNMA POOL #AY0090 ADJ RT DUE 1,1.85,12/01/44,"141,562.69","146,075.01","142,994.32"
FNMA POOL #AY7097 FLTG RT DUE,2.44,04/01/45,"59,823.10","61,138.74","60,372.06"
FNMA POOL #BC1205 2.635% DUE 0,2.66,07/01/46,"166,032.55","166,480.05","167,727.43"
FNMA POOL #BC4799 2.364% DUE 1,2.36,11/01/46,"189,190.05","194,511.01","187,798.86"
FNMA POOL #BC9053 2.541% DUE 1,2.55,12/01/46,"124,222.06","123,989.15","123,202.74"
FNMA POOL #BD6059 2.41% DUE 08,2.47,08/01/46,"474,016.65","488,311.21","475,463.66"
FNMA POOL #BJ2463 ADJ RT 11-01,2.73,11/01/47,"241,722.11","245,536.80","241,383.85"
FNMA POOL #BJ2464 ADJ RT 11-01,2.75,11/01/47,"174,518.98","177,027.70","174,183.87"
FNMA POOL #BK5641 2.0% DUE 10-,2.00,10/01/35,"640,830.20","669,767.68","599,235.84"
FNMA POOL #BN7727 FLTG 08-01-2,3.06,08/01/49,"309,839.89","315,189.47","307,120.83"
FNMA POOL #BO1843 3.035% DUE 0,3.03,08/01/49,"158,272.18","161,833.31","156,714.63"
FNMA POOL #BO3236 FLTG RT DUE,2.75,11/01/49,"361,380.99","366,914.65","354,502.48"
FNMA POOL #BO6267  ADJ RT,2.69,01/01/50,"385,056.49","389,794.50","377,009.88"
FNMA POOL #BP0633 FLTG RT DUE,2.73,01/01/50,"308,268.10","311,628.22","301,903.06"
FNMA POOL #BT8249 3.619% DUE 0,3.62,07/01/52,"350,000.00","343,027.34","347,354.85"
FNMA POOL #BV2500 FLTG RT 06-0,3.82,06/01/52,"685,000.00","685,588.67","684,453.58"
FNMA POOL #MA1288 2.0% DUE 12-,2.00,12/01/22,"6,361.12","6,577.79","6,354.01"
FNMA POOL #MA2829 2.5% DUE 12-,2.50,12/01/26,"188,366.21","191,574.33","184,793.26"
FNMA POOL #MA3107 2.5% DUE 08-,2.50,08/01/27,"189,180.42","192,757.11","185,427.42"
FNMA POOL #MA3131 3.0% DUE 09-,3.00,09/01/27,"181,845.86","188,324.10","181,323.51"
FNMA POOL BL2206 2.8% 04-01-20,2.80,04/01/24,"890,000.00","893,059.38","880,317.89"
FNMA POOL CA3155 4.0%,4.00,02/01/34,"88,303.65","91,414.97","89,886.29"
FNMA POOL CA3156 4.0%,4.00,02/01/34,"58,737.19","60,696.63","59,756.22"
FNMA POOL# AY8454 FLTG RT 08-0,1.85,08/01/45,"60,329.29","61,590.08","61,291.28"
FREDDIE MAC 2.0% 01/11/2035 2.,2.00,11/01/35,"3,666,321.17","3,818,989.07","3,427,246.01"
FREDDIE MAC 2.0% 09/01/2035 2.,2.00,09/01/35,"1,580,439.48","1,647,484.68","1,477,329.11"
FREDDIE MAC SEASONED CR RISK S,2.50,11/25/59,"483,022.33","509,098.00","457,569.66"
FREDDIE MAC SEASONED CR RISK S,2.50,05/25/60,"485,110.06","507,976.73","465,792.59"
FREDDIE MAC SEASONED CR RISK S,2.50,05/25/60,"377,193.61","397,223.79","356,651.42"
GNMA SERIES 16-H01 FA FLTG 01-,1.70,01/20/66,"233,285.67","235,928.28","232,755.25"
GNMAII POOL #891588 SER 2058 F,2.92,03/20/58,"306,417.26","307,789.24","306,529.41"
PETROLEOS MEXICANOS GTD NT SER,2.38,04/15/25,"387,000.00","387,278.64","381,412.72"
SMALL BUSINESS ADMIN GTD DEV P,4.14,02/01/30,"237,532.01","243,980.63","236,863.07"
SMALL BUSINESS ADMIN GTD DEV P,3.88,06/01/30,"210,974.93","215,276.84","213,536.33"
,,,,,
U.S. Treasury Securities,,,,,
UNITED STATES OF AMER TREAS NO,0.38,09/15/24,"2,250,000.00","2,238,493.87","2,123,613.27"
UNITED STATES OF AMER TREAS NO,2.75,05/15/25,"1,150,000.00","1,153,597.60","1,141,195.31"
UNITED STATES OF AMER TREAS NO,1.13,01/15/25,"1,100,000.00","1,091,366.97","1,049,039.07"
UNITED STATES TREAS NTS .125%,0.13,12/15/23,"2,550,000.00","2,544,225.02","2,446,804.69"
UNITED STATES TREAS NTS .5% 10,0.63,10/15/24,"1,125,000.00","1,120,037.95","1,065,893.56"
UNITED STATES TREAS NTS 0.125%,0.13,01/31/23,"80,000.00","80,018.75","78,871.88"
UNITED STATES TREAS NTS 1.75%,1.75,12/31/24,"20,900,000.00","21,808,059.39","20,255,038.96"
UNITED STATES TREAS NTS 2.5%,2.50,04/30/24,"2,175,000.00","2,166,256.31","2,156,053.71"
,,,,,
Cash & Cash Equivalents,,,,,
CASH ACCOUNT (ADJUSTMENT),,,"-386,196.47","-386,196.47","-386,196.47"
